X;Explicit;Implicit;CrankNicolson
0,481481;20,000014;20,000015;20,000014
0,483431;20,000013;20,000014;20,000014
0,485380;20,000012;20,000013;20,000013
0,487329;20,000012;20,000013;20,000012
0,489279;20,000011;20,000012;20,000012
0,491228;20,000011;20,000012;20,000011
0,493177;20,000010;20,000011;20,000011
0,495127;20,000010;20,000011;20,000011
0,497076;20,000010;20,000011;20,000011
0,499025;20,000010;20,000011;20,000010
0,500975;20,000010;20,000011;20,000010
0,502924;20,000010;20,000011;20,000011
0,504873;20,000010;20,000011;20,000011
0,506823;20,000010;20,000011;20,000011
0,508772;20,000011;20,000012;20,000011
0,510721;20,000011;20,000012;20,000012
0,512671;20,000012;20,000013;20,000012
0,514620;20,000012;20,000013;20,000013
0,516569;20,000013;20,000014;20,000014
0,518519;20,000014;20,000015;20,000014
0,520468;20,000015;20,000016;20,000015
0,522417;20,000016;20,000017;20,000017
0,524366;20,000017;20,000018;20,000018
0,526316;20,000018;20,000019;20,000019
0,528265;20,000019;20,000021;20,000021
0,530214;20,000021;20,000023;20,000022
0,532164;20,000023;20,000024;20,000024
0,534113;20,000025;20,000026;20,000026
0,536062;20,000027;20,000029;20,000028
0,538012;20,000029;20,000031;20,000031
0,539961;20,000031;20,000034;20,000033
0,541910;20,000034;20,000037;20,000036
0,543860;20,000037;20,000040;20,000039
0,545809;20,000040;20,000043;20,000042
0,547758;20,000044;20,000047;20,000046
0,549708;20,000047;20,000051;20,000050
0,551657;20,000051;20,000055;20,000054
0,553606;20,000056;20,000060;20,000059
0,555556;20,000061;20,000065;20,000064
0,557505;20,000066;20,000071;20,000070
0,559454;20,000072;20,000077;20,000076
0,561404;20,000078;20,000083;20,000082
0,563353;20,000084;20,000090;20,000089
0,565302;20,000092;20,000098;20,000097
0,567251;20,000099;20,000106;20,000105
0,569201;20,000108;20,000115;20,000114
0,571150;20,000117;20,000125;20,000123
0,573099;20,000127;20,000135;20,000134
0,575049;20,000138;20,000147;20,000145
0,576998;20,000149;20,000159;20,000157
0,578947;20,000162;20,000172;20,000170
0,580897;20,000175;20,000186;20,000184
0,582846;20,000189;20,000202;20,000199
0,584795;20,000205;20,000218;20,000215
0,586745;20,000222;20,000236;20,000233
0,588694;20,000240;20,000255;20,000252
0,590643;20,000260;20,000276;20,000273
0,592593;20,000281;20,000298;20,000295
0,594542;20,000304;20,000322;20,000318
0,596491;20,000328;20,000348;20,000344
0,598441;20,000354;20,000375;20,000371
0,600390;20,000383;20,000405;20,000401
0,602339;20,000413;20,000437;20,000433
0,604288;20,000446;20,000472;20,000467
0,606238;20,000481;20,000509;20,000504
0,608187;20,000519;20,000548;20,000543
0,610136;20,000560;20,000591;20,000585
0,612086;20,000604;20,000637;20,000631
0,614035;20,000650;20,000686;20,000680
0,615984;20,000701;20,000739;20,000732
0,617934;20,000754;20,000795;20,000788
0,619883;20,000813;20,000856;20,000848
0,621832;20,000874;20,000921;20,000913
0,623782;20,000941;20,000990;20,000982
0,625731;20,001012;20,001065;20,001056
0,627680;20,001089;20,001144;20,001135
0,629630;20,001170;20,001230;20,001220
0,631579;20,001258;20,001321;20,001311
0,633528;20,001351;20,001419;20,001408
0,635478;20,001452;20,001523;20,001512
0,637427;20,001558;20,001635;20,001623
0,639376;20,001674;20,001754;20,001742
0,641326;20,001794;20,001882;20,001869
0,643275;20,001927;20,002018;20,002004
0,645224;20,002064;20,002163;20,002149
0,647173;20,002215;20,002318;20,002303
0,649123;20,002372;20,002484;20,002468
0,651072;20,002544;20,002660;20,002644
0,653021;20,002723;20,002849;20,002831
0,654971;20,002918;20,003049;20,003031
0,656920;20,003122;20,003263;20,003244
0,658869;20,003344;20,003491;20,003471
0,660819;20,003574;20,003734;20,003712
0,662768;20,003826;20,003992;20,003970
0,664717;20,004088;20,004267;20,004243
0,666667;20,004373;20,004560;20,004535
0,668616;20,004670;20,004871;20,004845
0,670565;20,004992;20,005202;20,005175
0,672515;20,005328;20,005554;20,005525
0,674464;20,005693;20,005927;20,005898
0,676413;20,006072;20,006325;20,006294
0,678363;20,006483;20,006746;20,006714
0,680312;20,006911;20,007194;20,007160
0,682261;20,007375;20,007669;20,007634
0,684211;20,007857;20,008174;20,008137
0,686160;20,008380;20,008709;20,008670
0,688109;20,008923;20,009276;20,009236
0,690058;20,009511;20,009877;20,009835
0,692008;20,010120;20,010514;20,010471
0,693957;20,010781;20,011190;20,011144
0,695906;20,011465;20,011905;20,011857
0,697856;20,012206;20,012662;20,012612
0,699805;20,012974;20,013463;20,013411
0,701754;20,013804;20,014311;20,014257
0,703704;20,014664;20,015207;20,015152
0,705653;20,015593;20,016156;20,016098
0,707602;20,016555;20,017158;20,017098
0,709552;20,017594;20,018218;20,018156
0,711501;20,018668;20,019337;20,019273
0,713450;20,019828;20,020519;20,020452
0,715400;20,021027;20,021768;20,021698
0,717349;20,022319;20,023085;20,023013
0,719298;20,023656;20,024476;20,024401
0,721248;20,025095;20,025942;20,025865
0,723197;20,026582;20,027489;20,027409
0,725146;20,028183;20,029119;20,029037
0,727096;20,029837;20,030838;20,030752
0,729045;20,031615;20,032649;20,032560
0,730994;20,033452;20,034556;20,034464
0,732943;20,035424;20,036564;20,036469
0,734893;20,037461;20,038678;20,038580
0,736842;20,039647;20,040902;20,040801
0,738791;20,041903;20,043242;20,043138
0,740741;20,044323;20,045703;20,045596
0,742690;20,046819;20,048291;20,048180
0,744639;20,049493;20,051010;20,050896
0,746589;20,052251;20,053868;20,053750
0,748538;20,055204;20,056870;20,056748
0,750487;20,058248;20,060022;20,059896
0,752437;20,061504;20,063331;20,063202
0,754386;20,064860;20,066803;20,066671
0,756335;20,068446;20,070447;20,070310
0,758285;20,072141;20,074268;20,074128
0,760234;20,076086;20,078275;20,078131
0,762183;20,080149;20,082475;20,082327
0,764133;20,084483;20,086876;20,086724
0,766082;20,088945;20,091486;20,091330
0,768031;20,093702;20,096315;20,096155
0,769981;20,098598;20,101370;20,101206
0,771930;20,103812;20,106661;20,106493
0,773879;20,109175;20,112197;20,112025
0,775828;20,114884;20,117988;20,117812
0,777778;20,120754;20,124044;20,123863
0,779727;20,126996;20,130375;20,130190
0,781676;20,133412;20,136991;20,136801
0,783626;20,140230;20,143903;20,143710
0,785575;20,147235;20,151123;20,150925
0,787524;20,154672;20,158661;20,158459
0,789474;20,162311;20,166531;20,166324
0,791423;20,170415;20,174743;20,174532
0,793372;20,178735;20,183310;20,183095
0,795322;20,187554;20,192244;20,192025
0,797271;20,196606;20,201560;20,201337
0,799220;20,206193;20,211270;20,211042
0,801170;20,216029;20,221388;20,221156
0,803119;20,226437;20,231928;20,231691
0,805068;20,237112;20,242904;20,242663
0,807018;20,248400;20,254331;20,254086
0,808967;20,259973;20,266225;20,265976
0,810916;20,272199;20,278600;20,278347
0,812865;20,284730;20,291472;20,291215
0,814815;20,297958;20,304858;20,304597
0,816764;20,311511;20,318774;20,318509
0,818713;20,325806;20,333236;20,332968
0,820663;20,340447;20,348263;20,347990
0,822612;20,355877;20,363870;20,363594
0,824561;20,371675;20,380077;20,379797
0,826511;20,388311;20,396901;20,396617
0,828460;20,405338;20,414360;20,414073
0,830409;20,423254;20,432474;20,432183
0,832359;20,441583;20,451262;20,450967
