X;Temperature_Explicit;Temperature_Implicit
0,697856;20,000000;20,000000
0,699805;20,000000;20,000000
0,701754;20,000000;20,000000
0,703704;20,000000;20,000000
0,705653;20,000000;20,000000
0,707602;20,000000;20,000000
0,709552;20,000000;20,000000
0,711501;20,000000;20,000000
0,713450;20,000000;20,000000
0,715400;20,000000;20,000000
0,717349;20,000000;20,000000
0,719298;20,000000;20,000000
0,721248;20,000000;20,000000
0,723197;20,000000;20,000000
0,725146;20,000000;20,000000
0,727096;20,000000;20,000000
0,729045;20,000000;20,000000
0,730994;20,000000;20,000000
0,732943;20,000000;20,000000
0,734893;20,000000;20,000000
0,736842;20,000000;20,000000
0,738791;20,000000;20,000000
0,740741;20,000000;20,000000
0,742690;20,000000;20,000000
0,744639;20,000000;20,000000
0,746589;20,000000;20,000000
0,748538;20,000000;20,000000
0,750487;20,000000;20,000000
0,752437;20,000000;20,000000
0,754386;20,000000;20,000000
0,756335;20,000000;20,000000
0,758285;20,000000;20,000000
0,760234;20,000000;20,000000
0,762183;20,000000;20,000000
0,764133;20,000000;20,000000
0,766082;20,000000;20,000000
0,768031;20,000000;20,000000
0,769981;20,000000;20,000000
0,771930;20,000000;20,000000
0,773879;20,000000;20,000000
0,775828;20,000000;20,000000
0,777778;20,000000;20,000000
0,779727;20,000000;20,000000
0,781676;20,000000;20,000000
0,783626;20,000000;20,000000
0,785575;20,000000;20,000000
0,787524;20,000000;20,000000
0,789474;20,000000;20,000000
0,791423;20,000000;20,000000
0,793372;20,000000;20,000000
0,795322;20,000000;20,000000
0,797271;20,000000;20,000000
0,799220;20,000000;20,000000
0,801170;20,000000;20,000000
0,803119;20,000000;20,000000
0,805068;20,000000;20,000000
0,807018;20,000000;20,000000
0,808967;20,000000;20,000000
0,810916;20,000000;20,000000
0,812865;20,000000;20,000000
0,814815;20,000000;20,000000
0,816764;20,000000;20,000000
0,818713;20,000000;20,000000
0,820663;20,000000;20,000000
0,822612;20,000000;20,000000
0,824561;20,000000;20,000000
0,826511;20,000000;20,000000
0,828460;20,000000;20,000000
0,830409;20,000000;20,000000
0,832359;20,000000;20,000000
0,834308;20,000000;20,000000
0,836257;20,000000;20,000000
0,838207;20,000000;20,000000
0,840156;20,000000;20,000000
0,842105;20,000000;20,000000
0,844055;20,000000;20,000000
0,846004;20,000000;20,000000
0,847953;20,000000;20,000000
0,849903;20,000000;20,000000
0,851852;20,000000;20,000000
0,853801;20,000000;20,000000
0,855750;20,000000;20,000000
0,857700;20,000000;20,000000
0,859649;20,000000;20,000000
0,861598;20,000000;20,000000
0,863548;20,000000;20,000000
0,865497;20,000000;20,000000
0,867446;20,000000;20,000000
0,869396;20,000000;20,000000
0,871345;20,000000;20,000000
0,873294;20,000000;20,000000
0,875244;20,000000;20,000000
0,877193;20,000000;20,000000
0,879142;20,000000;20,000000
0,881092;20,000000;20,000000
0,883041;20,000000;20,000000
0,884990;20,000000;20,000000
0,886940;20,000000;20,000000
0,888889;20,000000;20,000000
0,890838;20,000000;20,000000
0,892788;20,000000;20,000000
0,894737;20,000000;20,000000
0,896686;20,000000;20,000000
0,898635;20,000000;20,000000
0,900585;20,000000;20,000000
0,902534;20,000000;20,000000
0,904483;20,000000;20,000000
0,906433;20,000000;20,000000
0,908382;20,000000;20,000000
0,910331;20,000000;20,000000
0,912281;20,000000;20,000000
0,914230;20,000000;20,000000
0,916179;20,000000;20,000000
0,918129;20,000000;20,000000
