X;Explicit;Implicit;CN
0,692008;20,010120;20,010520;20,010477
0,693957;20,010793;20,011196;20,011150
0,695906;20,011465;20,011911;20,011864
0,697856;20,012220;20,012668;20,012619
0,699805;20,012974;20,013470;20,013419
0,701754;20,013819;20,014318;20,014265
0,703704;20,014664;20,015215;20,015160
0,705653;20,015610;20,016164;20,016106
0,707602;20,016555;20,017167;20,017107
0,709552;20,017612;20,018227;20,018165
0,711501;20,018668;20,019347;20,019282
0,713450;20,019848;20,020530;20,020463
0,715400;20,021027;20,021778;20,021709
0,717349;20,022341;20,023097;20,023024
0,719298;20,023656;20,024487;20,024413
0,721248;20,025119;20,025955;20,025877
0,723197;20,026582;20,027502;20,027422
0,725146;20,028210;20,029133;20,029050
0,727096;20,029837;20,030852;20,030766
0,729045;20,031644;20,032664;20,032575
0,730994;20,033452;20,034571;20,034480
0,732943;20,035456;20,036580;20,036485
0,734893;20,037461;20,038695;20,038597
0,736842;20,039682;20,040920;20,040819
0,738791;20,041903;20,043261;20,043157
0,740741;20,044361;20,045723;20,045615
0,742690;20,046819;20,048311;20,048200
0,744639;20,049535;20,051032;20,050917
0,746589;20,052251;20,053890;20,053772
0,748538;20,055250;20,056893;20,056771
0,750487;20,058248;20,060046;20,059921
0,752437;20,061554;20,063356;20,063227
0,754386;20,064860;20,066830;20,066697
0,756335;20,068500;20,070474;20,070338
0,758285;20,072141;20,074297;20,074157
0,760234;20,076145;20,078305;20,078161
0,762183;20,080149;20,082506;20,082358
0,764133;20,084547;20,086909;20,086756
0,766082;20,088945;20,091520;20,091364
0,768031;20,093772;20,096350;20,096190
0,769981;20,098598;20,101407;20,101243
0,771930;20,103887;20,106699;20,106531
0,773879;20,109175;20,112237;20,112065
0,775828;20,114965;20,118030;20,117853
0,777778;20,120754;20,124087;20,123906
0,779727;20,127083;20,130419;20,130234
0,781676;20,133412;20,137037;20,136848
0,783626;20,140324;20,143951;20,143757
0,785575;20,147235;20,151173;20,150975
0,787524;20,154773;20,158713;20,158511
0,789474;20,162311;20,166584;20,166378
0,791423;20,170523;20,174798;20,174587
0,793372;20,178735;20,183367;20,183152
0,795322;20,187671;20,192304;20,192084
0,797271;20,196606;20,201621;20,201398
0,799220;20,206317;20,211333;20,211106
0,801170;20,216029;20,221453;20,221221
0,803119;20,226570;20,231995;20,231759
0,805068;20,237112;20,242974;20,242734
0,807018;20,248542;20,254404;20,254159
0,808967;20,259973;20,266300;20,266051
0,810916;20,272351;20,278677;20,278424
0,812865;20,284730;20,291552;20,291295
0,814815;20,298121;20,304941;20,304680
0,816764;20,311511;20,318859;20,318594
0,818713;20,325979;20,333324;20,333055
0,820663;20,340447;20,348353;20,348080
0,822612;20,356061;20,363963;20,363687
0,824561;20,371675;20,380173;20,379893
0,826511;20,388506;20,397000;20,396716
0,828460;20,405338;20,414462;20,414174
0,830409;20,423461;20,432579;20,432288
0,832359;20,441583;20,451370;20,451075
0,834308;20,461074;20,470854;20,470556
0,836257;20,480565;20,491050;20,490749
0,838207;20,501503;20,511980;20,511676
0,840156;20,522441;20,533664;20,533357
0,842105;20,544908;20,556122;20,555811
0,844055;20,567375;20,579375;20,579062
0,846004;20,591455;20,603444;20,603129
