X;Temperature_Explicit;Temperature_Implicit
0,588694;30,492107;30,492107
0,590643;30,429403;30,429403
0,592593;30,366879;30,366879
0,594542;30,304532;30,304532
0,596491;30,242363;30,242363
0,598441;30,180371;30,180371
0,600390;30,118555;30,118555
0,602339;30,056914;30,056914
0,604288;29,995448;29,995448
0,606238;29,934156;29,934156
0,608187;29,873038;29,873038
0,610136;29,812091;29,812091
0,612086;29,751317;29,751317
0,614035;29,690713;29,690713
0,615984;29,630280;29,630280
0,617934;29,570016;29,570016
0,619883;29,509922;29,509922
0,621832;29,449995;29,449995
0,623782;29,390236;29,390236
0,625731;29,330643;29,330643
0,627680;29,271216;29,271216
0,629630;29,211955;29,211955
0,631579;29,152858;29,152858
0,633528;29,093924;29,093924
0,635478;29,035153;29,035153
0,637427;28,976545;28,976545
0,639376;28,918098;28,918098
0,641326;28,859811;28,859811
0,643275;28,801685;28,801685
0,645224;28,743717;28,743717
0,647173;28,685908;28,685908
0,649123;28,628257;28,628257
0,651072;28,570762;28,570762
0,653021;28,513423;28,513423
0,654971;28,456240;28,456240
0,656920;28,399211;28,399211
0,658869;28,342336;28,342336
0,660819;28,285614;28,285614
0,662768;28,229044;28,229044
0,664717;28,172626;28,172626
0,666667;28,116358;28,116358
0,668616;28,060241;28,060241
0,670565;28,004272;28,004272
0,672515;27,948451;27,948451
0,674464;27,892778;27,892778
0,676413;27,837252;27,837252
0,678363;27,781872;27,781872
0,680312;27,726637;27,726637
0,682261;27,671546;27,671546
0,684211;27,616599;27,616599
0,686160;27,561795;27,561795
0,688109;27,507133;27,507133
0,690058;27,452611;27,452611
0,692008;27,398231;27,398231
0,693957;27,343989;27,343989
0,695906;27,289887;27,289887
0,697856;27,235923;27,235923
0,699805;27,182095;27,182095
0,701754;27,128405;27,128405
0,703704;27,074849;27,074849
0,705653;27,021429;27,021429
0,707602;26,968142;26,968142
0,709552;26,914988;26,914988
0,711501;26,861967;26,861967
0,713450;26,809078;26,809078
0,715400;26,756318;26,756318
0,717349;26,703689;26,703689
0,719298;26,651189;26,651189
0,721248;26,598817;26,598817
0,723197;26,546573;26,546573
0,725146;26,494455;26,494455
0,727096;26,442462;26,442462
0,729045;26,390595;26,390595
0,730994;26,338852;26,338852
0,732943;26,287232;26,287232
0,734893;26,235734;26,235734
0,736842;26,184358;26,184358
0,738791;26,133103;26,133103
0,740741;26,081967;26,081967
0,742690;26,030951;26,030951
0,744639;25,980053;25,980053
0,746589;25,929272;25,929272
0,748538;25,878608;25,878608
0,750487;25,828060;25,828060
0,752437;25,777626;25,777626
0,754386;25,727307;25,727307
0,756335;25,677100;25,677100
0,758285;25,627006;25,627006
0,760234;25,577024;25,577024
0,762183;25,527152;25,527152
0,764133;25,477390;25,477390
0,766082;25,427737;25,427737
0,768031;25,378191;25,378191
0,769981;25,328754;25,328754
0,771930;25,279422;25,279422
0,773879;25,230196;25,230196
0,775828;25,181075;25,181075
0,777778;25,132057;25,132057
0,779727;25,083143;25,083143
0,781676;25,034330;25,034330
0,783626;24,985619;24,985619
0,785575;24,937008;24,937008
0,787524;24,888496;24,888496
0,789474;24,840083;24,840083
0,791423;24,791768;24,791768
0,793372;24,743550;24,743550
0,795322;24,695428;24,695428
0,797271;24,647401;24,647401
0,799220;24,599468;24,599468
0,801170;24,551628;24,551628
0,803119;24,503881;24,503881
0,805068;24,456226;24,456226
0,807018;24,408662;24,408662
0,808967;24,361187;24,361187
0,810916;24,313801;24,313801
0,812865;24,266504;24,266504
0,814815;24,219294;24,219294
0,816764;24,172170;24,172170
0,818713;24,125132;24,125132
0,820663;24,078178;24,078178
0,822612;24,031308;24,031308
0,824561;23,984521;23,984521
0,826511;23,937816;23,937816
0,828460;23,891192;23,891192
0,830409;23,844649;23,844649
0,832359;23,798184;23,798184
0,834308;23,751798;23,751798
0,836257;23,705490;23,705490
0,838207;23,659258;23,659258
0,840156;23,613102;23,613102
0,842105;23,567021;23,567021
0,844055;23,521014;23,521014
0,846004;23,475080;23,475080
0,847953;23,429218;23,429218
0,849903;23,383427;23,383427
0,851852;23,337707;23,337707
0,853801;23,292056;23,292056
0,855750;23,246474;23,246474
0,857700;23,200960;23,200960
0,859649;23,155512;23,155512
0,861598;23,110131;23,110131
0,863548;23,064814;23,064814
0,865497;23,019562;23,019562
0,867446;22,974372;22,974372
0,869396;22,929245;22,929245
0,871345;22,884180;22,884180
0,873294;22,839175;22,839175
0,875244;22,794229;22,794229
0,877193;22,749343;22,749343
0,879142;22,704514;22,704514
0,881092;22,659742;22,659742
0,883041;22,615026;22,615026
0,884990;22,570365;22,570365
0,886940;22,525758;22,525758
0,888889;22,481205;22,481205
0,890838;22,436704;22,436704
0,892788;22,392254;22,392254
0,894737;22,347855;22,347855
0,896686;22,303506;22,303506
0,898635;22,259205;22,259205
0,900585;22,214952;22,214952
0,902534;22,170746;22,170746
0,904483;22,126586;22,126586
0,906433;22,082471;22,082471
0,908382;22,038400;22,038400
0,910331;21,994373;21,994373
0,912281;21,950388;21,950388
0,914230;21,906444;21,906444
0,916179;21,862541;21,862541
0,918129;21,818677;21,818677
0,920078;21,774852;21,774852
0,922027;21,731065;21,731065
0,923977;21,687315;21,687315
0,925926;21,643601;21,643601
0,927875;21,599921;21,599921
0,929825;21,556276;21,556276
0,931774;21,512664;21,512664
0,933723;21,469084;21,469084
0,935673;21,425536;21,425536
0,937622;21,382018;21,382018
0,939571;21,338529;21,338529
0,941520;21,295070;21,295070
0,943470;21,251637;21,251637
0,945419;21,208232;21,208232
0,947368;21,164852;21,164852
0,949318;21,121498;21,121498
0,951267;21,078167;21,078167
0,953216;21,034859;21,034859
0,955166;20,991574;20,991574
0,957115;20,948309;20,948309
0,959064;20,905065;20,905065
0,961014;20,861841;20,861841
0,962963;20,818635;20,818635
0,964912;20,775446;20,775446
0,966862;20,732274;20,732274
0,968811;20,689118;20,689118
0,970760;20,645977;20,645977
0,972710;20,602849;20,602849
0,974659;20,559734;20,559734
0,976608;20,516632;20,516632
0,978558;20,473540;20,473540
0,980507;20,430459;20,430459
0,982456;20,387386;20,387386
0,984405;20,344323;20,344323
0,986355;20,301266;20,301266
0,988304;20,258216;20,258216
0,990253;20,215172;20,215172
0,992203;20,172132;20,172132
0,994152;20,129096;20,129096
0,996101;20,086062;20,086062
0,998051;20,043031;20,043031
1,000000;20,000000;20,000000
